14004,1,20,5
13450,2,19,4
13084,3,17,3
12932,4,17,3
12984,5,17,3
13347,6,17,4
13845,7,17,5
14160,8,17,5
14718,9,17,5
15244,10,19,6
15634,11,22,7
15850,12,23,6
15919,13,24,5
15795,14,25,5
15745,15,26,4
15960,16,26,5
17249,17,25,5
18514,18,24,5
18463,19,23,5
18033,20,22,5
17412,21,21,5
16394,22,21,7
15155,23,20,9
14013,24,20,9
13253,1,19,10
12909,2,18,12
12750,3,17,13
12811,4,17,12
13183,5,16,12
14255,6,16,12
15970,7,16,11
17205,8,15,11
17781,9,15,10
18290,10,14,10
18692,11,15,11
18982,12,15,10
19076,13,14,9
19093,14,14,9
19023,15,13,9
19044,16,12,7
20107,17,10,5
21053,18,9,4
20757,19,8,4
20121,20,7,3
19349,21,6,1
18268,22,5,0
17013,23,4,-1
15891,24,3,-2
15100,1,2,-2
14631,2,2,-2
14461,3,2,-3
14461,4,2,-3
14710,5,2,-2
15391,6,3,-2
16422,7,4,-1
17230,8,4,-1
17994,9,5,-1
18613,10,6,0
19005,11,7,-1
19105,12,8,-1
19051,13,9,-2
18895,14,9,-3
18704,15,10,-3
18760,16,10,-5
19821,17,9,-7
21060,18,7,-9
20887,19,5,-10
20344,20,4,-10
19743,21,2,-12
18816,22,1,-11
17644,23,0,-12
16535,24,-1,-12
15730,1,0,-11
15231,2,-2,-11
14966,3,-2,-11
14903,4,-4,-12
15040,5,-3,-12
15440,6,-3,-11
16147,7,-3,-9
16842,8,-3,-10
17663,9,-1,-8
18165,10,3,-7
18228,11,7,-5
17997,12,13,-5
17640,13,17,-4
17266,14,20,-3
16991,15,22,0
17035,16,23,3
18070,17,23,5
19285,18,22,6
19110,19,22,6
18582,20,23,8
18053,21,22,8
17232,22,22,9
16193,23,22,9
15093,24,20,9
14197,1,20,9
13646,2,19,9
13354,3,18,8
13250,4,17,8
13318,5,17,8
13579,6,17,8
14123,7,17,9
14679,8,16,9
15412,9,14,7
15967,10,20,10
16248,11,23,13
16354,12,26,14
16313,13,29,16
16193,14,31,17
16121,15,33,18
16348,16,33,20
17564,17,32,24
18517,18,31,27
18291,19,31,28
17651,20,32,29
16951,21,32,29
15761,22,32,30
14440,23,33,31
13256,24,33,32
12432,1,34,33
11969,2,35,34
11744,3,36,36
11697,4,38,37
11972,5,38,38
12953,6,39,39
14784,7,41,40
15925,8,44,43
16160,9,49,48
16339,10,50,50
16519,11,51,51
16556,12,51,49
16426,13,50,48
16344,14,48,45
16286,15,47,43
16454,16,43,38
17400,17,39,34
18508,18,38,30
18499,19,35,26
18142,20,33,22
17535,21,31,18
16462,22,30,18
15113,23,29,16
13945,24,27,15
13220,1,26,13
12897,2,23,12
12837,3,20,8
13035,4,18,4
13614,5,15,-2
14881,6,12,-5
17108,7,10,-7
18301,8,9,-7
18486,9,9,-8
18544,10,9,-8
18606,11,10,-7
18572,12,11,-8
18482,13,11,-8
18431,14,12,-9
18356,15,12,-10
18649,16,11,-11
19833,17,10,-12
21235,18,9,-12
21334,19,8,-12
20964,20,7,-12
20300,21,7,-11
19146,22,6,-11
17621,23,6,-11
16292,24,6,-10
15490,1,6,-9
15068,2,6,-9
14874,3,5,-8
14875,4,6,-8
15209,5,6,-8
16301,6,5,-7
18327,7,6,-7
19397,8,5,-6
19378,9,6,-6
19268,10,8,-5
19091,11,11,-4
18839,12,14,-3
18501,13,16,-1
18305,14,18,-1
18147,15,19,-1
18270,16,20,-1
19333,17,19,-1
20671,18,18,0
20698,19,16,0
20299,20,17,0
19633,21,16,1
18443,22,16,1
16892,23,16,1
15525,24,17,1
14662,1,17,2
14242,2,17,2
14051,3,16,2
14065,4,16,2
14409,5,16,3
15503,6,15,3
17558,7,14,3
18580,8,14,3
18506,9,14,4
18304,10,17,5
18133,11,21,6
17881,12,24,7
17573,13,25,7
17398,14,27,7
17219,15,28,6
17348,16,28,6
18368,17,27,5
19764,18,25,6
19822,19,23,6
19482,20,21,7
18928,21,20,7
17847,22,18,8
16467,23,17,8
15220,24,15,7
14455,1,15,7
14080,2,14,7
13846,3,15,8
13793,4,16,9
14079,5,17,10
15122,6,19,11
16972,7,19,13
18076,8,20,15
18225,9,21,17
18331,10,22,19
18415,11,25,22
18313,12,26,23
18081,13,28,24
17889,14,29,25
17576,15,30,27
17483,16,31,28
18155,17,32,29
18902,18,32,29
18569,19,32,30
17965,20,32,30
17282,21,33,31
16334,22,33,31
15154,23,33,31
13891,24,33,32
12960,1,33,32
12427,2,34,32
12089,3,34,33
11948,4,34,33
11996,5,34,33
12318,6,35,34
12991,7,36,35
13811,8,37,36
14738,9,39,38
15507,10,41,41
15914,11,43,42
16029,12,45,44
15940,13,50,49
15709,14,52,50
15499,15,53,51
15596,16,52,51
16286,17,53,52
