,0,1,2
0,2085.0,2285.0,-200.0
1,702.3,1219.0,-516.7
2,790.3,574.0,216.29999999999995
3,8.0,0.0,8.0
4,160.0,277.0,-117.0
5,2576.8,2889.0,-312.1999999999998
6,0.0,371.0,-371.0
7,4886.7,5438.0,-551.3000000000002
8,1004.7,1198.0,-193.29999999999995
9,281.1,203.0,78.10000000000002
10,2070.8,2135.0,-64.19999999999982
11,3962.1,3783.0,179.0999999999999
12,5115.2,4386.0,729.1999999999998
13,1980.4,1840.0,140.4000000000001
14,5291.9,4878.0,413.89999999999964
15,1721.2,2022.0,-300.79999999999995
16,5571.2,5107.0,464.1999999999998
17,578.9,377.0,201.89999999999998
18,2519.2,2638.0,-118.80000000000018
19,8887.7,7779.0,1108.7000000000007
20,6588.2,6717.0,-128.80000000000018
21,5146.4,4528.0,618.3999999999996
22,1544.2,1341.0,203.20000000000005
23,9183.7,10314.0,-1130.2999999999993
24,7200.3,7595.0,-394.6999999999998
25,4957.3,4719.0,238.30000000000018
26,1717.6,1840.0,-122.40000000000009
27,929.2,1042.0,-112.79999999999995
28,982.0,1246.0,-264.0
29,6876.6,6378.0,498.60000000000036
30,3107.3,3097.0,10.300000000000182
31,5662.4,5276.0,386.39999999999964
32,2601.7,2203.0,398.6999999999998
33,853.1,818.0,35.10000000000002
34,2185.1,1785.0,400.0999999999999
35,2659.2,2716.0,-56.80000000000018
36,5535.4,5216.0,319.39999999999964
37,1477.9,1417.0,60.90000000000009
38,1176.3,823.0,353.29999999999995
39,267.9,97.0,170.89999999999998
40,6707.8,6267.0,440.8000000000002
41,976.8,1364.0,-387.20000000000005
42,12.1,0.0,12.1
43,4327.1,3496.0,831.1000000000004
44,155.9,102.0,53.900000000000006
45,5167.5,5227.0,-59.5
46,8278.9,7380.0,898.8999999999996
47,1223.9,1481.0,-257.0999999999999
48,4194.7,4955.0,-760.3000000000002
49,881.5,0.0,881.5
50,3715.5,4060.0,-344.5
51,4567.1,4560.0,7.100000000000364
52,1869.6,1696.0,173.5999999999999
53,4438.0,4519.0,-81.0
54,5642.9,5625.0,17.899999999999636
55,5576.1,4685.0,891.1000000000004
56,5179.1,4934.0,245.10000000000036
57,4306.3,4971.0,-664.6999999999998
58,2766.2,2910.0,-143.80000000000018
59,1316.2,1602.0,-285.79999999999995
60,3453.5,2988.0,465.5
61,5226.1,4508.0,718.1000000000004
62,4410.5,4153.0,257.5
63,782.4,410.0,372.4
64,2081.0,2061.0,20.0
65,5884.8,6002.0,-117.19999999999982
66,1011.1,961.0,50.10000000000002
67,393.8,818.0,-424.2
68,4471.6,4525.0,-53.399999999999636
69,2186.2,2200.0,-13.800000000000182
70,1028.6,1024.0,4.599999999999909
71,657.8,738.0,-80.20000000000005
72,2310.4,2192.0,118.40000000000009
73,6181.4,3938.0,2243.3999999999996
74,1569.9,1698.0,-128.0999999999999
75,1607.7,1650.0,-42.299999999999955
76,4086.7,4152.0,-65.30000000000018
77,1410.5,781.0,629.5
78,746.4,689.0,57.39999999999998
79,1908.2,1764.0,144.20000000000005
80,161.4,257.0,-95.6
81,184.0,236.0,-52.0
82,2886.1,2288.0,598.0999999999999
83,7200.2,7313.0,-112.80000000000018
84,1803.4,1711.0,92.40000000000009
85,6045.2,6030.0,15.199999999999818
86,5036.1,4942.0,94.10000000000036
87,6767.8,6310.0,457.8000000000002
88,671.9,528.0,143.89999999999998
89,923.8,898.0,25.799999999999955
90,1202.3,1388.0,-185.70000000000005
91,1364.4,1593.0,-228.5999999999999
92,2512.1,2724.0,-211.9000000000001
93,5966.8,6011.0,-44.19999999999982
94,2299.3,2177.0,122.30000000000018
95,2000.1,2831.0,-830.9000000000001
96,1755.3,1937.0,-181.70000000000005
97,3483.1,3523.0,-39.90000000000009
98,4460.1,4826.0,-365.89999999999964
99,6062.0,6057.0,5.0
100,334.5,104.0,230.5
101,699.4,783.0,-83.60000000000002
102,33.6,0.0,33.6
103,364.5,427.0,-62.5
104,2126.0,2109.0,17.0
105,1.7,0.0,1.7
106,4044.6,4325.0,-280.4000000000001
107,84.3,1279.0,-1194.7
108,77.9,114.0,-36.099999999999994
109,7073.0,4639.0,2434.0
110,4651.8,4722.0,-70.19999999999982
111,152.6,275.0,-122.4
112,2684.5,1844.0,840.5
113,1922.4,2047.0,-124.59999999999991
114,2211.6,2460.0,-248.4000000000001
115,876.5,1150.0,-273.5
116,5911.3,5683.0,228.30000000000018
117,4792.0,5142.0,-350.0
118,6085.4,4847.0,1238.3999999999996
119,965.5,898.0,67.5
120,5504.2,5508.0,-3.800000000000182
121,4585.5,4694.0,-108.5
122,5381.1,3650.0,1731.1000000000004
123,5036.3,5397.0,-360.6999999999998
124,418.0,417.0,1.0
125,419.6,515.0,-95.39999999999998
126,1361.1,1121.0,240.0999999999999
127,4064.5,2448.0,1616.5
128,1164.2,1098.0,66.20000000000005
129,5153.3,4865.0,288.3000000000002
130,5257.5,7681.0,-2423.5
131,2333.8,2406.0,-72.19999999999982
132,1857.6,2021.0,-163.4000000000001
133,1810.5,1701.0,109.5
134,486.9,278.0,208.89999999999998
135,3216.0,4555.0,-1339.0
136,1490.6,1627.0,-136.4000000000001
137,3074.3,2908.0,166.30000000000018
138,1040.1,863.0,177.0999999999999
139,14.1,0.0,14.1
140,636.0,455.0,181.0
141,98.4,0.0,98.4
142,1125.6,1061.0,64.59999999999991
143,2090.5,1732.0,358.5
144,241.8,83.0,158.8
145,12.9,0.0,12.9
146,4053.7,4377.0,-323.3000000000002
147,2918.4,2854.0,64.40000000000009
148,1947.8,1815.0,132.79999999999995
149,6156.5,6171.0,-14.5
150,3762.8,3355.0,407.8000000000002
151,3007.6,3259.0,-251.4000000000001
152,242.1,526.0,-283.9
153,5621.9,5534.0,87.89999999999964
154,3143.9,2896.0,247.9000000000001
155,316.6,867.0,-550.4
156,5780.2,5672.0,108.19999999999982
157,2006.0,2344.0,-338.0
158,5169.3,5108.0,61.30000000000018
159,1269.6,2024.0,-754.4000000000001
160,205.4,156.0,49.400000000000006
161,1057.6,697.0,360.5999999999999
162,5167.6,5032.0,135.60000000000036
163,872.1,1421.0,-548.9
164,735.2,663.0,72.20000000000005
165,2375.6,2446.0,-70.40000000000009
166,1714.2,1650.0,64.20000000000005
167,199.7,261.0,-61.30000000000001
168,1613.0,2093.0,-480.0
169,6843.6,7389.0,-545.3999999999996
170,1290.2,1363.0,-72.79999999999995
171,574.0,550.0,24.0
172,6787.2,7105.0,-317.8000000000002
173,4896.6,4982.0,-85.39999999999964
174,177.6,224.0,-46.400000000000006
175,5621.9,5310.0,311.89999999999964
176,3130.2,3383.0,-252.80000000000018
177,6048.2,5821.0,227.19999999999982
178,223.1,90.0,133.1
179,8801.1,8569.0,232.10000000000036
180,6264.9,6071.0,193.89999999999964
181,1199.4,441.0,758.4000000000001
182,5882.2,5918.0,-35.80000000000018
183,913.9,481.0,432.9
184,602.4,784.0,-181.60000000000002
185,1074.8,795.0,279.79999999999995
186,3573.1,2835.0,738.0999999999999
187,1335.0,1414.0,-79.0
188,419.5,2.0,417.5
189,1334.9,1182.0,152.9000000000001
190,4040.3,3948.0,92.30000000000018
191,5295.6,4872.0,423.60000000000036
192,7083.8,7475.0,-391.1999999999998
193,5083.5,5348.0,-264.5
194,4425.1,4516.0,-90.89999999999964
195,1085.8,894.0,191.79999999999995
196,7139.5,7031.0,108.5
197,5063.5,5012.0,51.5
198,3711.9,3763.0,-51.09999999999991
199,1051.3,1014.0,37.299999999999955
200,3191.0,3528.0,-337.0
201,513.7,562.0,-48.299999999999955
202,798.9,929.0,-130.10000000000002
203,3893.0,3703.0,190.0
204,2493.4,2180.0,313.4000000000001
205,3967.6,3708.0,259.5999999999999
206,1878.9,2050.0,-171.0999999999999
207,1484.4,1674.0,-189.5999999999999
208,1634.8,1800.0,-165.20000000000005
209,6076.0,6149.0,-73.0
210,4116.5,4319.0,-202.5
211,6409.3,5601.0,808.3000000000002
212,732.4,520.0,212.39999999999998
213,4687.1,5370.0,-682.8999999999996
214,1564.1,1598.0,-33.90000000000009
215,5361.6,3604.0,1757.6000000000004
216,1373.9,1147.0,226.9000000000001
217,4949.6,5402.0,-452.39999999999964
218,728.3,715.0,13.299999999999955
219,5451.9,5704.0,-252.10000000000036
220,5398.0,6068.0,-670.0
221,969.1,1084.0,-114.89999999999998
222,6333.0,4674.0,1659.0
223,5773.4,6064.0,-290.60000000000036
224,4618.2,4683.0,-64.80000000000018
225,6123.5,6464.0,-340.5
226,3296.6,2752.0,544.5999999999999
227,2235.8,2166.0,69.80000000000018
228,572.2,482.0,90.20000000000005
229,1107.2,1014.0,93.20000000000005
230,4075.8,3808.0,267.8000000000002
231,5683.9,5579.0,104.89999999999964
232,201.0,165.0,36.0
233,7442.6,7429.0,13.600000000000364
234,50.3,0.0,50.3
235,2145.2,2468.0,-322.8000000000002
236,553.1,1108.0,-554.9
237,1043.6,1095.0,-51.40000000000009
238,2590.4,2505.0,85.40000000000009
239,120.0,56.0,64.0
240,1279.5,1355.0,-75.5
241,2109.9,1579.0,530.9000000000001
242,526.0,102.0,424.0
243,882.5,924.0,-41.5
244,2058.2,2468.0,-409.8000000000002
245,1956.1,2463.0,-506.9000000000001
246,6040.3,6077.0,-36.69999999999982
247,397.4,470.0,-72.60000000000002
248,4036.0,4213.0,-177.0
249,10589.1,10314.0,275.10000000000036
250,3658.3,3838.0,-179.69999999999982
251,220.7,0.0,220.7
252,2229.0,2140.0,89.0
253,528.0,406.0,122.0
254,216.0,224.0,-8.0
255,1894.8,2042.0,-147.20000000000005
256,960.9,876.0,84.89999999999998
257,1169.4,971.0,198.4000000000001
258,4499.2,4547.0,-47.80000000000018
259,2464.6,3804.0,-1339.4
260,10206.3,10188.0,18.299999999999272
261,1464.1,1841.0,-376.9000000000001
262,1469.3,1610.0,-140.70000000000005
263,2519.5,2409.0,110.5
264,674.4,730.0,-55.60000000000002
265,5618.8,5467.0,151.80000000000018
266,1124.1,1118.0,6.099999999999909
267,2589.6,2419.0,170.5999999999999
268,1468.7,1303.0,165.70000000000005
269,3081.7,3063.0,18.699999999999818
270,1012.6,1061.0,-48.39999999999998
271,1051.3,811.0,240.29999999999995
272,118.2,222.0,-103.8
273,382.0,32.0,350.0
274,39.3,0.0,39.3
275,114.1,0.0,114.1
276,1834.3,2005.0,-170.70000000000005
277,2034.1,2173.0,-138.9000000000001
278,294.8,232.0,62.80000000000001
279,2410.5,2006.0,404.5
280,698.6,938.0,-239.39999999999998
281,1325.4,771.0,554.4000000000001
282,248.4,264.0,-15.599999999999994
283,2600.4,2509.0,91.40000000000009
284,1941.4,2607.0,-665.5999999999999
285,850.8,884.0,-33.200000000000045
286,6929.6,6857.0,72.60000000000036
287,1826.6,2224.0,-397.4000000000001
288,1167.2,1295.0,-127.79999999999995
289,2730.4,2795.0,-64.59999999999991
290,2944.0,3211.0,-267.0
291,1200.0,1040.0,160.0
292,675.6,957.0,-281.4
293,261.9,217.0,44.89999999999998
294,3870.2,3189.0,681.1999999999998
295,5398.7,6868.0,-1469.3000000000002
296,1352.8,1101.0,251.79999999999995
297,1231.4,594.0,637.4000000000001
298,3058.2,2559.0,499.1999999999998
299,1389.2,1445.0,-55.799999999999955
300,6315.4,4951.0,1364.3999999999996
301,753.5,1119.0,-365.5
302,1658.8,1709.0,-50.200000000000045
303,2377.5,2751.0,-373.5
304,193.6,560.0,-366.4
305,6079.1,6370.0,-290.89999999999964
306,3517.3,4342.0,-824.6999999999998
307,5259.7,4662.0,597.6999999999998
308,2166.4,2324.0,-157.5999999999999
309,554.5,474.0,80.5
310,6514.4,6347.0,167.39999999999964
311,488.3,0.0,488.3
312,2388.5,2512.0,-123.5
313,9069.0,9384.0,-315.0
314,2200.0,1933.0,267.0
315,81.8,82.0,-0.20000000000000284
316,4411.0,4762.0,-351.0
317,2389.6,1045.0,1344.6
318,3620.4,3672.0,-51.59999999999991
319,624.8,723.0,-98.20000000000005
320,1732.1,1801.0,-68.90000000000009
321,3780.2,3864.0,-83.80000000000018
322,802.9,735.0,67.89999999999998
323,694.4,765.0,-70.60000000000002
324,4911.4,4750.0,161.39999999999964
325,282.3,277.0,5.300000000000011
326,615.8,1226.0,-610.2
327,3341.3,2971.0,370.3000000000002
328,617.5,528.0,89.5
329,3523.6,2965.0,558.5999999999999
330,733.5,560.0,173.5
331,4657.8,4568.0,89.80000000000018
332,320.9,376.0,-55.10000000000002
333,4404.4,4351.0,53.399999999999636
334,3219.5,3594.0,-374.5
335,608.9,616.0,-7.100000000000023
336,2757.0,1935.0,822.0
337,2784.6,2893.0,-108.40000000000009
338,3719.1,3416.0,303.0999999999999
339,8251.8,8429.0,-177.20000000000073
340,599.0,442.0,157.0
341,4481.4,4704.0,-222.60000000000036
342,921.7,784.0,137.70000000000005
343,5737.7,5958.0,-220.30000000000018
344,5252.6,4731.0,521.6000000000004
345,4335.0,6066.0,-1731.0
346,1071.7,1877.0,-805.3
347,673.1,539.0,134.10000000000002
348,172.1,116.0,56.099999999999994
349,5219.7,5335.0,-115.30000000000018
350,185.0,98.0,87.0
351,738.8,752.0,-13.200000000000045
352,1030.3,1097.0,-66.70000000000005
353,3679.8,3644.0,35.80000000000018
354,5280.1,5557.0,-276.89999999999964
355,2066.1,3147.0,-1080.9
356,24.7,0.0,24.7
357,7545.6,5003.0,2542.6000000000004
358,2429.1,2540.0,-110.90000000000009
359,340.3,259.0,81.30000000000001
360,280.6,323.0,-42.39999999999998
361,5314.8,5423.0,-108.19999999999982
362,74.6,0.0,74.6
363,5920.8,5767.0,153.80000000000018
364,97.1,43.0,54.099999999999994
365,1612.2,1682.0,-69.79999999999995
366,238.9,104.0,134.9
367,2022.6,2403.0,-380.4000000000001
368,1226.3,1790.0,-563.7
369,330.2,485.0,-154.8
370,1331.3,1436.0,-104.70000000000005
371,2199.4,3436.0,-1236.6
372,131.1,58.0,73.1
373,5790.6,5787.0,3.600000000000364
374,1083.6,699.0,384.5999999999999
375,2138.0,2370.0,-232.0
376,8673.5,8666.0,7.5
377,1533.7,1589.0,-55.299999999999955
378,2078.9,2225.0,-146.0999999999999
379,1190.5,1023.0,167.5
380,4287.1,3471.0,816.1000000000004
381,5135.2,4739.0,396.1999999999998
382,1839.5,2047.0,-207.5
383,7425.5,7309.0,116.5
384,2014.9,1764.0,250.9000000000001
385,3020.3,2762.0,258.3000000000002
386,8003.1,9875.0,-1871.8999999999996
387,5499.3,5761.0,-261.6999999999998
388,872.3,613.0,259.29999999999995
389,6098.4,5703.0,395.39999999999964
390,338.7,282.0,56.69999999999999
391,4175.8,4080.0,95.80000000000018
392,923.6,1097.0,-173.39999999999998
393,1872.4,1922.0,-49.59999999999991
394,1971.1,1802.0,169.0999999999999
395,7695.9,8337.0,-641.1000000000004
396,436.9,143.0,293.9
397,1026.0,1149.0,-123.0
398,712.4,1060.0,-347.6
399,6942.5,7231.0,-288.5
400,4448.7,4358.0,90.69999999999982
401,5263.8,5106.0,157.80000000000018
402,1182.7,1013.0,169.70000000000005
403,134.5,142.0,-7.5
404,2205.7,1871.0,334.6999999999998
405,1976.2,2160.0,-183.79999999999995
406,6727.1,7209.0,-481.89999999999964
407,1616.0,1722.0,-106.0
408,4116.1,4169.0,-52.899999999999636
409,3670.4,4074.0,-403.5999999999999
410,3833.2,3782.0,51.19999999999982
411,3781.4,3549.0,232.4000000000001
412,174.7,226.0,-51.30000000000001
413,780.5,2428.0,-1647.5
414,6935.8,7018.0,-82.19999999999982
415,3224.7,2292.0,932.6999999999998
416,1015.1,1015.0,0.10000000000002274
417,3416.1,3413.0,3.099999999999909
418,5637.2,5043.0,594.1999999999998
419,2217.1,2339.0,-121.90000000000009
420,3123.2,3110.0,13.199999999999818
421,5008.8,4997.0,11.800000000000182
422,0.0,80.0,-80.0
423,272.4,377.0,-104.60000000000002
424,11.0,0.0,11.0
425,692.1,632.0,60.10000000000002
426,842.3,1226.0,-383.70000000000005
427,5602.4,4669.0,933.3999999999996
428,6201.6,6164.0,37.600000000000364
429,4932.2,4846.0,86.19999999999982
430,5471.2,4803.0,668.1999999999998
431,6667.1,6863.0,-195.89999999999964
432,403.1,429.0,-25.899999999999977
433,1663.8,1261.0,402.79999999999995
434,0.0,0.0,0.0
435,1108.3,1015.0,93.29999999999995
436,2031.8,2096.0,-64.20000000000005
437,13.5,0.0,13.5
438,1175.9,2908.0,-1732.1
439,324.9,507.0,-182.10000000000002
440,1502.0,514.0,988.0
441,968.3,967.0,1.2999999999999545
442,2401.7,2095.0,306.6999999999998
443,607.9,476.0,131.89999999999998
444,6867.9,6671.0,196.89999999999964
445,5999.0,6798.0,-799.0
446,6977.6,6951.0,26.600000000000364
447,1176.4,1119.0,57.40000000000009
448,6462.9,6273.0,189.89999999999964
449,162.3,228.0,-65.69999999999999
450,18.2,0.0,18.2
451,4689.6,4904.0,-214.39999999999964
452,1240.1,1043.0,197.0999999999999
453,3460.8,4542.0,-1081.1999999999998
454,528.6,487.0,41.60000000000002
455,2338.9,2267.0,71.90000000000009
456,2585.8,2679.0,-93.19999999999982
457,2011.5,1642.0,369.5
458,8157.4,7774.0,383.39999999999964
459,2390.7,3310.0,-919.3000000000002
460,1019.9,1079.0,-59.10000000000002
461,4757.3,4930.0,-172.69999999999982
462,656.5,747.0,-90.5
463,4954.3,4741.0,213.30000000000018
464,305.3,546.0,-240.7
465,4241.9,3790.0,451.89999999999964
466,4956.7,2651.0,2305.7
467,3305.7,3643.0,-337.3000000000002
468,1770.3,2062.0,-291.70000000000005
469,2891.2,3045.0,-153.80000000000018
470,7325.7,6896.0,429.6999999999998
471,7620.5,9524.0,-1903.5
472,812.0,720.0,92.0
473,4051.7,2905.0,1146.6999999999998
474,189.3,212.0,-22.69999999999999
475,6352.2,7903.0,-1550.8000000000002
476,2374.5,2305.0,69.5
477,675.2,705.0,-29.799999999999955
478,1925.7,1965.0,-39.299999999999955
479,393.9,22.0,371.9
480,1964.1,2330.0,-365.9000000000001
481,1729.8,2067.0,-337.20000000000005
482,1460.1,869.0,591.0999999999999
483,2151.8,2021.0,130.80000000000018
484,6564.2,6224.0,340.1999999999998
485,7173.4,6884.0,289.39999999999964
486,5323.7,5271.0,52.69999999999982
487,735.0,514.0,221.0
488,3638.3,4264.0,-625.6999999999998
489,1430.4,1841.0,-410.5999999999999
490,404.4,856.0,-451.6
491,5129.3,5342.0,-212.69999999999982
492,1508.8,1967.0,-458.20000000000005
493,241.9,422.0,-180.1
494,284.7,191.0,93.69999999999999
495,6817.4,3958.0,2859.3999999999996
496,6237.6,6349.0,-111.39999999999964
497,7320.2,7075.0,245.19999999999982
498,5525.4,4979.0,546.3999999999996
499,338.9,737.0,-398.1
500,1243.4,1372.0,-128.5999999999999
501,1517.8,169.0,1348.8
502,4442.7,4604.0,-161.30000000000018
503,4586.4,3930.0,656.3999999999996
504,1837.3,1836.0,1.2999999999999545
505,3707.0,3395.0,312.0
506,4098.0,4254.0,-156.0
507,251.5,0.0,251.5
508,1359.2,1433.0,-73.79999999999995
509,282.5,221.0,61.5
510,1596.2,1536.0,60.200000000000045
