,real_value,pre_value_wt,err_wt,err_rate_wt/%
0,735.7111206054688,366.7739856450396,-368.93713496042915,-50.14701078010139
1,931.0333251953125,455.52159350150265,-475.51173169380985,-51.07354579322462
2,955.1777954101562,384.5181686690624,-570.6596267410939,-59.74381204035956
3,857.4888916015625,433.5530123118895,-423.935879289673,-49.43922696163129
4,732.2999877929688,525.8359815970717,-206.464006195897,-28.193910915954735
5,930.0333251953125,550.8665270890201,-379.1667981062924,-40.769162548736105
6,1303.77783203125,617.8516311020455,-685.9262009292045,-52.610666025863495
7,1139.45556640625,669.7231950951823,-469.7323713110677,-41.224281592003216
8,1117.111083984375,677.4446882094275,-439.66639577494755,-39.35744637022124
9,1137.45556640625,710.3007127195802,-427.15485368666975,-37.553541984611336
10,1049.7667236328125,738.5459749727958,-311.22074866001674,-29.646657838706226
11,1009.0333251953125,746.2179993345666,-262.81532586074593,-26.04624835456989
12,1019.9888916015625,786.5497421422598,-233.4391494593027,-22.886440370224236
13,844.9111328125,815.7670931489421,-29.14403966355792,-3.449361540135544
14,728.5888671875,828.3688650635296,99.7799978760296,13.694966032242645
15,959.5888671875,856.0762729856305,-103.51259420186955,-10.787181650539468
16,924.566650390625,860.985355460658,-63.581294929967044,-6.876875226151002
17,1298.6444091796875,878.5840978810697,-420.06031129861776,-32.346060886979565
18,1430.0555419921875,903.3295663346387,-526.7259756575488,-36.832553714926014
19,1027.5888671875,903.9975890537545,-123.5912781337455,-12.0273080100618
20,1037.95556640625,923.7955911093384,-114.15997529691163,-10.998541651659686
21,1275.2667236328125,938.8816925874265,-336.385031045386,-26.377621623117122
22,1264.8333740234375,936.3978201770079,-328.43555384642957,-25.96670522708263
23,1186.4666748046875,956.9452364891634,-229.52143831552405,-19.344954492995527
