PkLoad,T48PkLoad,T48PkPoint,MeanDry,MeanDew,WeekDay,Month
16531,15565,18,68.4,54.5,3,6
16072,16480,13,62.7,56.5,4,6
15886,16531,17,59.9,57.3,5,6
15408,16072,13,63.3,52.3,6,6
14812,15886,11,57.6,52.5,7,6
15007,15408,13,60.5,51.4,1,6
19346,14812,17,67.3,46.5,2,6
18322,15007,20,66.7,52.5,3,6
16821,19346,16,70.2,59.2,4,6
17425,18322,13,63.8,58.7,5,6
18695,16821,16,63.6,49.4,6,6
17604,17425,16,65.5,49.3,7,6
20265,18695,16,70,56.5,1,6
25129,17604,16,71.8,57.4,2,6
24652,20265,17,75.6,63.5,3,6
22400,25129,16,78.9,67.8,4,6
19251,24652,15,78.1,66,5,6
19917,22400,13,74.7,67,6,6
19103,19251,14,67.8,65,7,6
19363,19917,16,70.3,66.2,1,6
20532,19103,16,73.5,67,2,7
20791,19363,14,74.4,68.2,3,7
22635,20532,13,73.5,70,4,7
22424,20791,16,72.9,68.7,5,7
25031,22635,16,75.6,68.4,6,7
23326,22424,16,80.6,71,7,7
23353,25031,16,82.9,70.9,1,7
24272,23326,16,82.7,69.8,2,7
20682,23353,15,79.9,68.8,3,7
22409,24272,15,76.7,68.3,4,7
21701,20682,13,71.1,66.4,5,7
19514,22409,14,73.5,69.6,6,7
17672,21701,16,75.7,69.3,7,7
22397,19514,13,71.5,60.2,1,7
26111,17672,17,69.8,64.2,2,7
26252,22397,17,78.9,69.8,3,7
26641,26111,16,82.1,68.9,4,7
26884,26252,16,82,66.5,5,7
27379,26641,16,81.8,68.5,6,7
24668,26884,14,82.6,70.3,7,7
20085,27379,16,85.5,72,1,7
21931,24668,14,82.8,70.4,2,7
22277,20085,17,74.7,62.1,3,7
22387,21931,14,72.8,66.3,4,7
16437,22277,15,73.1,69.7,5,7
16860,22387,14,74.9,64,6,7
17917,16437,11,61.5,52.6,7,7
17822,16860,13,65.8,60.5,1,7
21717,17917,17,70.9,61.2,2,7
19973,17822,15,70.5,64.5,3,7
19978,21717,15,73,64.5,4,7
19607,19973,16,71.5,56.6,5,8
19986,19978,16,70.9,57.3,6,8
16750,19607,13,69.1,62.2,7,8
16345,19986,15,72.1,61.5,1,8
17179,16750,17,70,59.9,2,8
17687,16345,17,68,55,3,8
18032,17179,17,65.8,46.7,4,8
19840,17687,16,66.1,50.3,5,8
19486,18032,16,67.8,56.2,6,8
17856,19840,16,72.2,65.8,7,8
16507,19486,11,72.8,70.1,1,8
19506,17856,16,73.5,58.8,2,8
18175,16507,17,68.1,51.8,3,8
17172,19506,16,70.8,57.6,4,8
17194,18175,12,68.5,63.5,5,8
17358,17172,16,66.3,52.6,6,8
16126,17194,16,65.4,49.8,7,8
15978,17358,14,66.6,52.7,1,8
19009,16126,17,68.1,55.3,2,8
21075,15978,20,68,58.3,3,8
22416,19009,14,70.8,58.6,4,8
21259,21075,16,73.7,60,5,8
19255,22416,16,75.3,61.5,6,8
15630,21259,14,74.4,65.2,7,8
16331,19255,13,71.8,57.5,1,8
18685,15630,17,65.8,48.3,2,8
21076,16331,17,67.8,51.7,3,8
21607,18685,14,70.5,60.7,4,8
17904,21076,16,73.1,66.5,5,8
19321,21607,14,71.6,65,6,8
18060,17904,11,66.7,62.4,7,8
18058,19321,16,70.8,62.5,1,9
18898,18060,19,74,69.2,2,9
19852,18058,17,73.4,69.6,3,9
18755,18898,19,72.5,70,4,9
16825,19852,12,71.2,64.6,5,9
15432,18755,16,68.9,55,6,9
14873,16825,13,64,51.9,7,9
14977,15432,13,57.6,40.8,1,9
15973,14873,19,63.5,48,2,9
17988,14977,19,65.4,50,3,9
24451,15973,19,58.2,42.8,4,9
22199,17988,19,66.8,61.6,5,9
18824,24451,16,79.3,70,6,9
14429,22199,13,74.5,68.4,7,9
14905,18824,13,67.3,61.7,1,9
15917,14429,19,59.4,49.6,2,9
15670,14905,19,58.7,46.8,3,9
15932,15917,19,58.9,48.3,4,9
16324,15670,19,51.5,36.8,5,9
16246,15932,19,57.3,42.9,6,9
15304,16324,19,61.5,48.5,7,9
15104,16246,14,62.7,52.3,1,9
15839,15304,19,64.6,58.7,2,9
15917,15104,19,63.5,53.7,3,9
15963,15839,19,53,39.8,4,9
15793,15917,19,53.5,39.8,5,9
15078,15963,19,56.6,45.3,6,9
14322,15793,19,57.8,47.2,7,9
14833,15078,19,57.8,49,1,9
