"","x"
"4",7.82370566666668
"5",-1.60693633333312
"8",88.1002450000001
"11",31.1274866666668
"16",29.0450353333331
"20",-78.9642753333333
"21",-43.0195506666669
"24",25.902345
"31",-187.503309333333
"32",-186.397226666667
"50",-63.8473733333335
"59",-64.7470669999996
"65",-57.5715013333331
"67",-46.3613280000002
"68",-44.2764306666663
"87",8.87336399999981
"88",9.34870233333299
"89",23.619862333333
"104",57.312176666667
"106",35.7461459999997
"107",60.2523263333333
"111",54.2432549999999
"114",-8.20781666666699
"118",60.2222670000001
"126",63.9506213333329
"132",-10.530356
"137",27.5288410000001
"139",40.4874599999998
"145",73.6127086666668
"151",-44.0513390000006
"173",-81.2955936666667
"179",-33.133090333333
"181",3.90737666666678
"189",-20.8928840000001
"190",13.1534020000001
"193",8.19910533333336
"195",-2.02881900000034
"202",14.8484839999999
"206",6.88781533333326
"219",-74.4453216666666
"220",-13.9413059999999
"222",-78.3210973333335
"230",-47.1594566666668
"238",23.1578179999997
"240",11.8471943333338
"248",141.281369333333
"249",65.5617126666666
"260",83.6079366666665
"261",75.8554036666669
"262",75.268944666667
"264",45.6839396666667
"271",108.777068
"277",31.1701519999999
"294",-14.9501890000001
"296",-52.5040923333336
"297",-11.9359136666667
"316",28.5250819999999
"317",18.7751269999999
"320",12.560747
"321",28.3473786666664
"327",18.4609339999997
"330",1.20481333333419
"334",58.4365216666667
"340",20.227639
"347",53.1039350000001
"352",44.8234320000001
"356",-7.32162166666694
"360",9.20943433333355
"363",8.96125966666659
"373",-53.7853919999998
"376",-35.5713763333335
"380",-0.531666000000314
"386",21.7945300000001
"391",31.3867553333332
"400",46.532436
"401",70.5373589999999
"403",36.7163209999999
"412",9.52208799999971
"417",51.7862836666663
"425",-29.3591696666665
"430",9.02467000000001
"431",3.32649633333358
"434",-7.54516233333334
"445",-28.0518839999997
"456",-4.99318700000003
"457",14.7758569999999
"461",-40.3159743333335
"470",17.378334
"472",8.72800633333327
"482",-63.4275216666667
"485",-125.353741333333
"490",-42.5555176666669
"491",-45.5479983333335
"496",-52.9735759999999
"509",-70.4070446666669
"513",-63.0426953333331
"520",-8.88577299999974
"527",-17.1662803333334
"529",-17.0915596666664
"531",-9.82196399999975
"534",-18.1486383333331
"538",-3.25365866666698
"541",49.9368473333336
"543",40.5294556666665
"546",1.20601633333263
"548",-41.3087123333335
"549",-48.218922
"554",13.8979609999999
"562",-20.7395740000002
"568",2.31880833333321
"570",-4.16141766666715
"572",-8.99048533333348
"575",-26.4757479999998
"581",4.52330833333349
"582",48.821987333333
"583",32.6785870000001
"585",-1.82298133333302
"589",-22.9502766666662
"593",27.3358863333331
"596",56.6195660000001
"599",63.5684923333333
"606",51.5821739999999
"608",31.4453783333331
"614",-9.03643333333321
"617",-58.3192300000003
"619",-104.582560333333
"621",-88.7603236666669
"622",-59.9067753333336
"628",-15.5518153333335
"632",-46.0894940000001
"637",-2.19262733333335
"639",8.04618866666647
"643",3.977439
"652",36.7150046666668
"656",-12.2129533333332
"657",-5.89849666666669
"661",56.6333473333334
"662",47.7018716666666
"667",-16.8379709999997
"677",3.58191566666665
"683",9.83205799999973
"684",30.1604946666669
"685",28.4159323333338
"701",-35.9172896666666
"704",-35.5276946666665
"719",-8.13387500000044
"724",35.724134
"727",46.5187303333335
"732",20.1019856666669
"734",24.4508136666666
"737",7.78206599999999
"738",28.0153683333335
"741",28.3614499999996
"750",10.9826219999998
"758",36.8825396666664
"771",41.8290326666665
"772",63.498478
"774",73.6270593333334
"780",-5.88260399999967
"782",-18.3293519999997
"785",-38.974953666667
"790",58.8897249999998
"791",15.3386743333333
"795",9.52992000000017
"806",3.29566633333297
"814",-17.523377
"824",-57.8709656666665
"841",22.0911856666664
"847",97.3855476666668
"853",-111.886986666667
"857",-55.687023
"860",20.1358386666666
"875",22.4192973333336
"879",39.658899
"882",42.6673093333336
"886",-22.0261419999997
"895",-65.7916443333334
"901",-9.0837443333337
"903",-8.96546866666722
"908",4.68100499999991
"909",-10.395727666667
"913",-48.0055346666666
"916",-16.9845023333332
"921",-14.9737386666666
"924",9.57238366666661
"931",17.761616333333
"935",45.2145659999996
"938",-10.3319173333336
"939",-16.2247046666666
"941",15.6650159999997
"953",-40.9992993333333
"956",-9.84929499999998
"965",-12.760669
"973",-5.88041733333353
"977",-15.011456
"983",-10.4259043333334
"985",-17.1179726666667
"996",10.1486246666668
"1004",-32.2308103333326
"1005",-25.5127696666664
"1025",34.8779700000002
