OBSPWR,4HR_FCSTPWR,OBS_DIFF,4HR_DIFF,4HR_ERROR,DIFF_ERROR
195.4,306.5,51.4,6.1,111.1,-45.3
306.7,333.1,111.3,26.6,26.4,-84.7
460.9,377.6,154.2,44.5,-83.3,-109.7
617.6,444.1,156.7,66.5,-173.5,-90.2
700.8,508.1,83.2,64,-192.7,-19.2
783.7,557,82.9,48.9,-226.7,-34
760.1,590.3,-23.6,33.3,-169.8,56.9
715.5,621.6,-44.6,31.3,-93.9,75.9
582.3,596.2,-133.2,-25.4,13.9,107.8
635.5,623.4,53.2,27.2,-12.1,-26
770.4,676.6,134.9,53.2,-93.8,-81.7
798.1,701.8,27.7,25.2,-96.3,-2.5
943.3,749.4,145.2,47.6,-193.9,-97.6
1106.8,843.6,163.5,94.2,-263.2,-69.3
1117.5,878.5,10.7,34.9,-239,24.2
957.2,849.3,-160.3,-29.2,-107.9,131.1
901.8,851,-55.4,1.7,-50.8,57.1
944.7,855.8,42.9,4.8,-88.9,-38.1
995.8,899,51.1,43.2,-96.8,-7.9
1017.4,887.7,21.6,-11.3,-129.7,-32.9
1088.2,911.9,70.8,24.2,-176.3,-46.6
1064.9,908.6,-23.3,-3.3,-156.3,20
915.7,879.8,-149.2,-28.8,-35.9,120.4
950.5,904.9,34.8,25.1,-45.6,-9.7
987.1,902.7,36.6,-2.2,-84.4,-38.8
821.8,858.6,-165.3,-44.1,36.8,121.2
720.5,790.8,-101.3,-67.8,70.3,33.5
581.2,728.1,-139.3,-62.7,146.9,76.6
476.7,692.1,-104.5,-36,215.4,68.5
434.9,637.8,-41.8,-54.3,202.9,-12.5
406.6,588.4,-28.3,-49.4,181.8,-21.1
412.9,569,6.3,-19.4,156.1,-25.7
396.4,541.5,-16.5,-27.5,145.1,-11
186,486.2,-210.4,-55.3,300.2,155.1
52.9,393.1,-133.1,-93.1,340.2,40
125.3,352.9,72.4,-40.2,227.6,-112.6
369,416.6,243.7,63.7,47.6,-180
295.9,392.3,-73.1,-24.3,96.4,48.8
264.3,353.6,-31.6,-38.7,89.3,-7.1
317.5,383.5,53.2,29.9,66,-23.3
312.6,405.6,-4.9,22.1,93,27
329.1,418.7,16.5,13.1,89.6,-3.4
432.8,435.3,103.7,16.6,2.5,-87.1
510.1,472.8,77.3,37.5,-37.3,-39.8
531.5,488.7,21.4,15.9,-42.8,-5.5
624.4,533.1,92.9,44.4,-91.3,-48.5
754,564.9,129.6,31.8,-189.1,-97.8
800.3,611.1,46.3,46.2,-189.2,-0.1
914,664.2,113.7,53.1,-249.8,-60.6
1087,748.2,173,84,-338.8,-89
1156.3,804.3,69.3,56.1,-352,-13.2
1211.7,858.4,55.4,54.1,-353.3,-1.3
1072.1,866.5,-139.6,8.1,-205.6,147.7
885.1,846.5,-187,-20,-38.6,167
776.5,776.8,-108.6,-69.7,0.3,38.9
731.4,744.5,-45.1,-32.3,13.1,12.8
601.8,696.2,-129.6,-48.3,94.4,81.3
687.9,714.8,86.1,18.6,26.9,-67.5
824.8,747.4,136.9,32.6,-77.4,-104.3
880,793.1,55.2,45.7,-86.9,-9.5
653.7,724.9,-226.3,-68.2,71.2,158.1
431.8,691.9,-221.9,-33,260.1,188.9
337,634,-94.8,-57.9,297,36.9
339.2,593,2.2,-41,253.8,-43.2
494.3,586.7,155.1,-6.3,92.4,-161.4
690.5,637.9,196.2,51.2,-52.6,-145
761.9,662.5,71.4,24.6,-99.4,-46.8
866.9,716.7,105,54.2,-150.2,-50.8
815.5,731.1,-51.4,14.4,-84.4,65.8
880.7,740.4,65.2,9.3,-140.3,-55.9
984.9,779.5,104.2,39.1,-205.4,-65.1
1102.2,836.6,117.3,57.1,-265.6,-60.2
1271,943.5,168.8,106.9,-327.5,-61.9
1433.7,1040,162.7,96.5,-393.7,-66.2
1526.1,1113.5,92.4,73.5,-412.6,-18.9
1606,1149.2,79.9,35.7,-456.8,-44.2
1628.2,1214.6,22.2,65.4,-413.6,43.2
1606.9,1243.1,-21.3,28.5,-363.8,49.8
1579.2,1288,-27.7,44.9,-291.2,72.6
1575.7,1310.8,-3.5,22.8,-264.9,26.3
1581.5,1326.7,5.8,15.9,-254.8,10.1
1606.4,1372.1,24.9,45.4,-234.3,20.5
1632.7,1377.8,26.3,5.7,-254.9,-20.6
1638.5,1403.2,5.8,25.4,-235.3,19.6
1644.2,1420.1,5.7,16.9,-224.1,11.2
1600.7,1416.2,-43.5,-3.9,-184.5,39.6
1525.2,1385.2,-75.5,-31,-140,44.5
1505.3,1392.6,-19.9,7.4,-112.7,27.3
1489.8,1376.8,-15.5,-15.8,-113,-0.3
1428.1,1353.3,-61.7,-23.5,-74.8,38.2
1419.2,1332.1,-8.9,-21.2,-87.1,-12.3
1432.6,1338.3,13.4,6.2,-94.3,-7.2
1327.8,1287.3,-104.8,-51,-40.5,53.8
1212.6,1261.8,-115.2,-25.5,49.2,89.7
1125.5,1202.6,-87.1,-59.2,77.1,27.9
960.6,1113.7,-164.9,-88.9,153.1,76
750.7,998.1,-209.9,-115.6,247.4,94.3
639.9,913.6,-110.8,-84.5,273.7,26.3
550,813.6,-89.9,-100,263.6,-10.1
481.4,738.2,-68.6,-75.4,256.8,-6.8
363.1,663.1,-118.3,-75.1,300,43.2
299.3,615.6,-63.8,-47.5,316.3,16.3
278.9,558.7,-20.4,-56.9,279.8,-36.5
327.6,532.6,48.7,-26.1,205,-74.8
294.7,493.1,-32.9,-39.5,198.4,-6.6
262.2,462,-32.5,-31.1,199.8,1.4
271.3,437.8,9.1,-24.2,166.5,-33.3
258.2,418.5,-13.1,-19.3,160.3,-6.2
227.3,394.4,-30.9,-24.1,167.1,6.8
195.7,388.1,-31.6,-6.3,192.4,25.3
172.6,372.3,-23.1,-15.8,199.7,7.3
208.7,358.9,36.1,-13.4,150.2,-49.5
260.4,387.7,51.7,28.8,127.3,-22.9
240.4,370.6,-20,-17.1,130.2,2.9
224.1,360,-16.3,-10.6,135.9,5.7
239.4,345.4,15.3,-14.6,106,-29.9
336.7,366.5,97.3,21.1,29.8,-76.2
282.7,374.2,-54,7.7,91.5,61.7
218.6,360.4,-64.1,-13.8,141.8,50.3
197.6,331.2,-21,-29.2,133.6,-8.2
186.5,322.1,-11.1,-9.1,135.6,2
230.1,311.2,43.6,-10.9,81.1,-54.5
254.8,319.6,24.7,8.4,64.8,-16.3
250.2,307.2,-4.6,-12.4,57,-7.8
