OBSPWR,4HR_FCSTPWR,OBS_DIFF,4HR_DIFF,4HR_ERROR,DIFF_ERROR
561.5,636.4,21.1,17.3,74.9,-3.8
546.9,678.8,-14.6,42.4,131.9,57
535.1,658.4,-11.8,-20.4,123.3,-8.6
574.8,676,39.7,17.6,101.2,-22.1
565,674.3,-9.8,-1.7,109.3,8.1
473.4,618,-91.6,-56.3,144.6,35.3
394.7,569.4,-78.7,-48.6,174.7,30.1
315.2,546.6,-79.5,-22.8,231.4,56.7
314.9,506.8,-0.3,-39.8,191.9,-39.5
268.5,477.3,-46.4,-29.5,208.8,16.9
319.9,492.2,51.4,14.9,172.3,-36.5
397.4,481.3,77.5,-10.9,83.9,-88.4
423.6,474.7,26.2,-6.6,51.1,-32.8
409,473.5,-14.6,-1.2,64.5,13.4
368.5,467.4,-40.5,-6.1,98.9,34.4
482.9,508.8,114.4,41.4,25.9,-73
565.5,520.7,82.6,11.9,-44.8,-70.7
572.4,540.3,6.9,19.6,-32.1,12.7
634.4,592.8,62,52.5,-41.6,-9.5
623.8,605,-10.6,12.2,-18.8,22.8
605,590.5,-18.8,-14.5,-14.5,4.3
539.6,598.8,-65.4,8.3,59.2,73.7
471.3,572.5,-68.3,-26.3,101.2,42
420.5,540.7,-50.8,-31.8,120.2,19
465.7,555.5,45.2,14.8,89.8,-30.4
492.3,586,26.6,30.5,93.7,3.9
420.6,585.7,-71.7,-0.3,165.1,71.4
428.7,588.5,8.1,2.8,159.8,-5.3
469.7,592.6,41,4.1,122.9,-36.9
441.1,567.8,-28.6,-24.8,126.7,3.8
507.2,572.5,66.1,4.7,65.3,-61.4
535.5,597.3,28.3,24.8,61.8,-3.5
526.5,593.7,-9,-3.6,67.2,5.4
447.2,553,-79.3,-40.7,105.8,38.6
431.6,546.7,-15.6,-6.3,115.1,9.3
593.7,543.6,162.1,-3.1,-50.1,-165.2
718.7,600.9,125,57.3,-117.8,-67.7
737.8,625.6,19.1,24.7,-112.2,5.6
658.7,625.7,-79.1,0.1,-33,79.2
668.6,661.6,9.9,35.9,-7,26
716.4,656.9,47.8,-4.7,-59.5,-52.5
674.6,647.5,-41.8,-9.4,-27.1,32.4
694.6,671.7,20,24.2,-22.9,4.2
789.6,698.7,95,27,-90.9,-68
762.5,690.2,-27.1,-8.5,-72.3,18.6
670.7,669.8,-91.8,-20.4,-0.9,71.4
639.6,677.9,-31.1,8.1,38.3,39.2
623.4,641.3,-16.2,-36.6,17.9,-20.4
636.6,648,13.2,6.7,11.4,-6.5
637.5,726,0.9,78,88.5,77.1
616.4,694.8,-21.1,-31.2,78.4,-10.1
513.6,644.6,-102.8,-50.2,131,52.6
402.3,610.6,-111.3,-34,208.3,77.3
411.2,555.2,8.9,-55.4,144,-64.3
356.3,515.6,-54.9,-39.6,159.3,15.3
377.9,504.1,21.6,-11.5,126.2,-33.1
310.5,482.3,-67.4,-21.8,171.8,45.6
279.2,490.6,-31.3,8.3,211.4,39.6
385.9,516.8,106.7,26.2,130.9,-80.5
505.2,550.6,119.3,33.8,45.4,-85.5
511.2,549,6,-1.6,37.8,-7.6
428.4,542.7,-82.8,-6.3,114.3,76.5
524.5,548.1,96.1,5.4,23.6,-90.7
590.3,546,65.8,-2.1,-44.3,-67.9
569,516,-21.3,-30,-53,-8.7
467.3,505.1,-101.7,-10.9,37.8,90.8
352.4,495.9,-114.9,-9.2,143.5,105.7
245.4,445.5,-107,-50.4,200.1,56.6
151.6,375.9,-93.8,-69.6,224.3,24.2
109.4,327.2,-42.2,-48.7,217.8,-6.5
129,322.5,19.6,-4.7,193.5,-24.3
108.9,268.1,-20.1,-54.4,159.2,-34.3
140.3,286.1,31.4,18,145.8,-13.4
230.8,301.7,90.5,15.6,70.9,-74.9
347.5,343.6,116.7,41.9,-3.9,-74.8
398.8,377.4,51.3,33.8,-21.4,-17.5
455.4,418.7,56.6,41.3,-36.7,-15.3
542.6,460.4,87.2,41.7,-82.2,-45.5
666.5,533.1,123.9,72.7,-133.4,-51.2
787,572.7,120.5,39.6,-214.3,-80.9
837.5,609.6,50.5,36.9,-227.9,-13.6
836.8,669.6,-0.7,60,-167.2,60.7
726.3,650.4,-110.5,-19.2,-75.9,91.3
577.9,594.1,-148.4,-56.3,16.2,92.1
485,597.2,-92.9,3.1,112.2,96
602.5,614.1,117.5,16.9,11.6,-100.6
607.9,604.8,5.4,-9.3,-3.1,-14.7
546.8,608,-61.1,3.2,61.2,64.3
480.6,563.4,-66.2,-44.6,82.8,21.6
453.1,569.6,-27.5,6.2,116.5,33.7
410,566.7,-43.1,-2.9,156.7,40.2
356.6,533.1,-53.4,-33.6,176.5,19.8
293.9,489.5,-62.7,-43.6,195.6,19.1
283.9,434.8,-10,-54.7,150.9,-44.7
276.5,416.5,-7.4,-18.3,140,-10.9
188.4,364.6,-88.1,-51.9,176.2,36.2
163.3,351.1,-25.1,-13.5,187.8,11.6
168.8,385.2,5.5,34.1,216.4,28.6
196.6,373.5,27.8,-11.7,176.9,-39.5
308.7,391.3,112.1,17.8,82.6,-94.3
474.1,456,165.4,64.7,-18.1,-100.7
488.7,477.5,14.6,21.5,-11.2,6.9
458.1,437.5,-30.6,-40,-20.6,-9.4
477.4,451.3,19.3,13.8,-26.1,-5.5
457.4,466.2,-20,14.9,8.8,34.9
447.5,454.1,-9.9,-12.1,6.6,-2.2
364.3,425.3,-83.2,-28.8,61,54.4
343.8,419.2,-20.5,-6.1,75.4,14.4
289.6,396.7,-54.2,-22.5,107.1,31.7
267.8,407.6,-21.8,10.9,139.8,32.7
258,414.1,-9.8,6.5,156.1,16.3
246,415.5,-12,1.4,169.5,13.4
244.4,375.9,-1.6,-39.6,131.5,-38
234.5,374,-9.9,-1.9,139.5,8
184.3,359.7,-50.2,-14.3,175.4,35.9
166.3,357.2,-18,-2.5,190.9,15.5
152.6,321.9,-13.7,-35.3,169.3,-21.6
123.7,287.6,-28.9,-34.3,163.9,-5.4
102.7,274.2,-21,-13.4,171.5,7.6
97.8,252.8,-4.9,-21.4,155,-16.5
88.5,249.9,-9.3,-2.9,161.4,6.4
84.9,262.4,-3.6,12.5,177.5,16.1
105.7,258.4,20.8,-4,152.7,-24.8
107.9,245.3,2.2,-13.1,137.4,-15.3
132.2,247.9,24.3,2.6,115.7,-21.7
190.8,269,58.6,21.1,78.2,-37.5
316.8,334.5,126,65.5,17.7,-60.5
500.2,398.6,183.4,64.1,-101.6,-119.3
628.2,471.2,128,72.6,-157,-55.4
693.3,533.7,65.1,62.5,-159.6,-2.6
713.8,555.1,20.5,21.4,-158.7,0.9
814.7,602.6,100.9,47.5,-212.1,-53.4
935.6,719.1,120.9,116.5,-216.5,-4.4
952.2,781.3,16.6,62.2,-170.9,45.6
947.3,816,-4.9,34.7,-131.3,39.6
920.7,851.6,-26.6,35.6,-69.1,62.2
924.1,859.3,3.4,7.7,-64.8,4.3
836.3,791.2,-87.8,-68.1,-45.1,19.7
735.6,779,-100.7,-12.2,43.4,88.5
746.1,786.3,10.5,7.3,40.2,-3.2
743.9,739.6,-2.2,-46.7,-4.3,-44.5
741.3,705.5,-2.6,-34.1,-35.8,-31.5
772.7,710.5,31.4,5,-62.2,-26.4
479,607.7,-293.7,-102.8,128.7,190.9
537,600.3,58,-7.4,63.3,-65.4
906.3,736.7,369.3,136.4,-169.6,-232.9
1241.8,883.3,335.5,146.6,-358.5,-188.9
1340.8,979.2,99,95.9,-361.6,-3.1
1356.6,1042,15.8,62.8,-314.6,47
1367.2,1070.8,10.6,28.8,-296.4,18.2
1265.9,1088.9,-101.3,18.1,-177,119.4
1260.9,1116.3,-5,27.4,-144.6,32.4
1416.1,1201.9,155.2,85.6,-214.2,-69.6
1506.3,1247.4,90.2,45.5,-258.9,-44.7
1515.5,1275.2,9.2,27.8,-240.3,18.6
1508.7,1266.3,-6.8,-8.9,-242.4,-2.1
1524.4,1287,15.7,20.7,-237.4,5
1538,1337.1,13.6,50.1,-200.9,36.5
1530,1362.9,-8,25.8,-167.1,33.8
1539.1,1383.8,9.1,20.9,-155.3,11.8
1566.2,1404,27.1,20.2,-162.2,-6.9
1618.4,1410.7,52.2,6.7,-207.7,-45.5
1621.4,1428.6,3,17.9,-192.8,14.9
1634,1469.9,12.6,41.3,-164.1,28.7
1646,1440.4,12,-29.5,-205.6,-41.5
1631.5,1423.7,-14.5,-16.7,-207.8,-2.2
1620.8,1423.9,-10.7,0.2,-196.9,10.9
1637.4,1332,16.6,-91.9,-305.4,-108.5
1641.5,1414.4,4.1,82.4,-227.1,78.3
1599,1504.7,-42.5,90.3,-94.3,132.8
1599.5,1518.4,0.5,13.7,-81.1,13.2
1545.4,1514.3,-54.1,-4.1,-31.1,50
1511.2,1521.2,-34.2,6.9,10,41.1
1511.1,1510.2,-0.1,-11,-0.9,-10.9
1513.7,1485.2,2.6,-25,-28.5,-27.6
1336.5,1452.9,-177.2,-32.3,116.4,144.9
1241.2,1394.8,-95.3,-58.1,153.6,37.2
1136.4,1304.6,-104.8,-90.2,168.2,14.6
1396.6,1325.7,260.2,21.1,-70.9,-239.1
1395.3,1286.1,-1.3,-39.6,-109.2,-38.3
1368.2,1286.4,-27.1,0.3,-81.8,27.4
1301,1290.3,-67.2,3.9,-10.7,71.1
1180.9,1245.9,-120.1,-44.4,65,75.7
1096.8,1206.4,-84.1,-39.5,109.6,44.6
991.4,1137.9,-105.4,-68.5,146.5,36.9
986.8,1100.4,-4.6,-37.5,113.6,-32.9
957.9,1050.1,-28.9,-50.3,92.2,-21.4
954.5,987.7,-3.4,-62.4,33.2,-59
762.9,906.2,-191.6,-81.5,143.3,110.1
582.9,821,-180,-85.2,238.1,94.8
471.8,748.5,-111.1,-72.5,276.7,38.6
401.9,643,-69.9,-105.5,241.1,-35.6
238.2,584.6,-163.7,-58.4,346.4,105.3
173.4,558.1,-64.8,-26.5,384.7,38.3
216.8,519.8,43.4,-38.3,303,-81.7
229.2,501.1,12.4,-18.7,271.9,-31.1
189.3,447.5,-39.9,-53.6,258.2,-13.7
176.6,412.4,-12.7,-35.1,235.8,-22.4
187.6,395.6,11,-16.8,208,-27.8
239.2,427.4,51.6,31.8,188.2,-19.8
266.2,402.7,27,-24.7,136.5,-51.7
250.5,419.9,-15.7,17.2,169.4,32.9
272.1,441.5,21.6,21.6,169.4,-8.53E-14
428,423,155.9,-18.5,-5,-174.4
533.5,461.7,105.5,38.7,-71.8,-66.8
438.5,475,-95,13.3,36.5,108.3
357.9,471.4,-80.6,-3.6,113.5,77
371.1,459.4,13.2,-12,88.3,-25.2
456.9,483.8,85.8,24.4,26.9,-61.4
497.1,482,40.2,-1.8,-15.1,-42
510.9,517.9,13.8,35.9,7,22.1
568.2,527.6,57.3,9.7,-40.6,-47.6
573.5,502.6,5.3,-25,-70.9,-30.3
730,557.5,156.5,54.9,-172.5,-101.6
809.1,596.8,79.1,39.3,-212.3,-39.8
848,605,38.9,8.2,-243,-30.7
957.8,681,109.8,76,-276.8,-33.8
1162,849.7,204.2,168.7,-312.3,-35.5
1391,985.3,229,135.6,-405.7,-93.4
1482.3,1081.1,91.3,95.8,-401.2,4.5
1451.3,1125.1,-31,44,-326.2,75
1552.1,1247.1,100.8,122,-305,21.2
1637.3,1322,85.2,74.9,-315.3,-10.3
1645,1382.8,7.7,60.8,-262.2,53.1
1650.1,1399.2,5.1,16.4,-250.9,11.3
1653.1,1426.2,3,27,-226.9,24
1653.4,1428.7,0.3,2.5,-224.7,2.2
1638.3,1378.7,-15.1,-50,-259.6,-34.9
1596.6,1373.4,-41.7,-5.3,-223.2,36.4
1146.4,1310.8,-450.2,-62.6,164.4,387.6
963.3,1210.1,-183.1,-100.7,246.8,82.4
870.3,1142,-93,-68.1,271.7,24.9
1248.2,1189.3,377.9,47.3,-58.9,-330.6
1510.3,1234.8,262.1,45.5,-275.5,-216.6
1534.5,1271.3,24.2,36.5,-263.2,12.3
1496.1,1278.4,-38.4,7.1,-217.7,45.5
1492.7,1262.6,-3.4,-15.8,-230.1,-12.4
1459.8,1237.2,-32.9,-25.4,-222.6,7.5
1453.1,1252.1,-6.7,14.9,-201,21.6
1526.3,1219.7,73.2,-32.4,-306.6,-105.6
1570.9,1285.3,44.6,65.6,-285.6,21
1442.2,1342.7,-128.7,57.4,-99.5,186.1
1385,1359.2,-57.2,16.5,-25.8,73.7
1353.7,1355.9,-31.3,-3.3,2.2,28
1291.1,1318.9,-62.6,-37,27.8,25.6
1170.4,1252.4,-120.7,-66.5,82,54.2
1140.6,1204.5,-29.8,-47.9,63.9,-18.1
1002.8,1175.2,-137.8,-29.3,172.4,108.5
1010.7,1177.3,7.9,2.1,166.6,-5.8
928.5,1091.9,-82.2,-85.4,163.4,-3.2
869.7,1067.4,-58.8,-24.5,197.7,34.3
809.4,1015.7,-60.3,-51.7,206.3,8.6
660.5,945.1,-148.9,-70.6,284.6,78.3
718.1,921.7,57.6,-23.4,203.6,-81
1053.2,979.7,335.1,58,-73.5,-277.1
1324.5,1056.4,271.3,76.7,-268.1,-194.6
1505.9,1123.6,181.4,67.2,-382.3,-114.2
1412.3,1173.1,-93.6,49.5,-239.2,143.1
1276,1178,-136.3,4.9,-98,141.2
1211.6,1139.9,-64.4,-38.1,-71.7,26.3
985.1,1028.9,-226.5,-111,43.8,115.5
793.5,934.5,-191.6,-94.4,141,97.2
909,929.5,115.5,-5,20.5,-120.5
821,824.3,-88,-105.2,3.3,-17.2
907,895.8,86,71.5,-11.2,-14.5
1120.1,1015.3,213.1,119.5,-104.8,-93.6
928.9,1018.9,-191.2,3.6,90,194.8
1030.5,1062.7,101.6,43.8,32.2,-57.8
1211.4,1121.3,180.9,58.6,-90.1,-122.3
1163.9,1081.6,-47.5,-39.7,-82.3,7.8
1066.9,1085.4,-97,3.8,18.5,100.8
1029.1,1072,-37.8,-13.4,42.9,24.4
882.3,1016.6,-146.8,-55.4,134.3,91.4
806.3,960.6,-76,-56,154.3,20
705.6,894.4,-100.7,-66.2,188.8,34.5
658.5,813.7,-47.1,-80.7,155.2,-33.6
777.8,840.7,119.3,27,62.9,-92.3
752.4,816.4,-25.4,-24.3,64,1.1
580.2,775.7,-172.2,-40.7,195.5,131.5
527.8,738.4,-52.4,-37.3,210.6,15.1
504.4,690.3,-23.4,-48.1,185.9,-24.7
570.8,689.3,66.4,-1,118.5,-67.4
493.5,669.2,-77.3,-20.1,175.7,57.2
456.2,638.3,-37.3,-30.9,182.1,6.4
387.8,581.8,-68.4,-56.5,194,11.9
353,491.5,-34.8,-90.3,138.5,-55.5
325.4,487.5,-27.6,-4,162.1,23.6
224.4,434.3,-101,-53.2,209.9,47.8
175.8,412.6,-48.6,-21.7,236.8,26.9
151.1,441,-24.7,28.4,289.9,53.1
161.8,393.4,10.7,-47.6,231.6,-58.3
233.7,387.1,71.9,-6.3,153.4,-78.2
307.7,403.6,74,16.5,95.9,-57.5
376.6,412.6,68.9,9,36,-59.9
458.8,434,82.2,21.4,-24.8,-60.8
508.6,471.4,49.8,37.4,-37.2,-12.4
555.4,504.3,46.8,32.9,-51.1,-13.9
553.5,501.8,-1.9,-2.5,-51.7,-0.6
447.4,481.1,-106.1,-20.7,33.7,85.4
316.9,419.5,-130.5,-61.6,102.6,68.9
344,414.8,27.1,-4.7,70.8,-31.8
447.6,428.5,103.6,13.7,-19.1,-89.9
573.9,471,126.3,42.5,-102.9,-83.8
632.7,517.4,58.8,46.4,-115.3,-12.4
740.9,567.8,108.2,50.4,-173.1,-57.8
816.1,631.1,75.2,63.3,-185,-11.9
817.2,638.9,1.1,7.8,-178.3,6.7
971.5,715.8,154.3,76.9,-255.7,-77.4
1086.4,759.1,114.9,43.3,-327.3,-71.6
1148.4,771.5,62,12.4,-376.9,-49.6
1259.5,837.4,111.1,65.9,-422.1,-45.2
1263.4,843.1,3.9,5.7,-420.3,1.8
1480.2,972,216.8,128.9,-508.2,-87.9
1617.3,1185.3,137.1,213.3,-432,76.2
1641.9,1298.7,24.6,113.4,-343.2,88.8
1653.6,1358.3,11.7,59.6,-295.3,47.9
1656.6,1415.1,3,56.8,-241.5,53.8
1653.4,1444.8,-3.2,29.7,-208.6,32.9
1652.3,1469.2,-1.1,24.4,-183.1,25.5
1645.2,1537.7,-7.1,68.5,-107.5,75.6
1646.4,1538.6,1.2,0.9,-107.8,-0.3
1657.7,1525.5,11.3,-13.1,-132.2,-24.4
1656.3,1523.3,-1.4,-2.2,-133,-0.8
1655.6,1461.3,-0.7,-62,-194.3,-61.3
1654.2,1444.4,-1.4,-16.9,-209.8,-15.5
1637,1473.4,-17.2,29,-163.6,46.2
1537.3,1419.2,-99.7,-54.2,-118.1,45.5
1532.4,1469,-4.9,49.8,-63.4,54.7
1607.3,1496.6,74.9,27.6,-110.7,-47.3
1576.1,1502.3,-31.2,5.7,-73.8,36.9
1553.1,1510.1,-23,7.8,-43,30.8
1485.5,1477.8,-67.6,-32.3,-7.7,35.3
1456.3,1419.9,-29.2,-57.9,-36.4,-28.7
1473.8,1372.3,17.5,-47.6,-101.5,-65.1
1472.5,1360.1,-1.3,-12.2,-112.4,-10.9
1453.9,1316.7,-18.6,-43.4,-137.2,-24.8
1408.1,1339.7,-45.8,23,-68.4,68.8
1537.7,1443.2,129.6,103.5,-94.5,-26.1
1584.5,1505.1,46.8,61.9,-79.4,15.1
1483.9,1485.3,-100.6,-19.8,1.4,80.8
1586.1,1507.5,102.2,22.2,-78.6,-80
1602.1,1519.7,16,12.2,-82.4,-3.8
1582,1504.4,-20.1,-15.3,-77.6,4.8
1602.2,1522,20.2,17.6,-80.2,-2.6
1530.6,1531.7,-71.6,9.7,1.1,81.3
1511.3,1489.4,-19.3,-42.3,-21.9,-23
1463.8,1410.1,-47.5,-79.3,-53.7,-31.8
1431.6,1369.6,-32.2,-40.5,-62,-8.3
1380.2,1311.1,-51.4,-58.5,-69.1,-7.1
1272.2,1257.8,-108,-53.3,-14.4,54.7
1122.4,1218.4,-149.8,-39.4,96,110.4
1138.3,1215.3,15.9,-3.1,77,-19
1243.2,1228.8,104.9,13.5,-14.4,-91.4
1257.6,1225.5,14.4,-3.3,-32.1,-17.7
1338.1,1266.6,80.5,41.1,-71.5,-39.4
1518.2,1309.1,180.1,42.5,-209.1,-137.6
1603.6,1296.9,85.4,-12.2,-306.7,-97.6
1602.9,1309.3,-0.7,12.4,-293.6,13.1
1593.7,1328.4,-9.2,19.1,-265.3,28.3
1616.7,1288.4,23,-40,-328.3,-63
1561.6,1317.7,-55.1,29.3,-243.9,84.4
1483.2,1376.1,-78.4,58.4,-107.1,136.8
1409.5,1364.4,-73.7,-11.7,-45.1,62
1296.9,1330.6,-112.6,-33.8,33.7,78.8
1020.1,1263.4,-276.8,-67.2,243.3,209.6
791,1143.3,-229.1,-120.1,352.3,109
654.5,1039.2,-136.5,-104.1,384.7,32.4
515.5,932.8,-139,-106.4,417.3,32.6
412.8,882.3,-102.7,-50.5,469.5,52.2
350.2,797.8,-62.6,-84.5,447.6,-21.9
299.8,703,-50.4,-94.8,403.2,-44.4
371.3,633.6,71.5,-69.4,262.3,-140.9
367.4,625.9,-3.9,-7.7,258.5,-3.8
268,559.5,-99.4,-66.4,291.5,33
193.1,506.3,-74.9,-53.2,313.2,21.7
164.4,461.4,-28.7,-44.9,297,-16.2
171.8,445.8,7.4,-15.6,274,-23
184.3,468,12.5,22.2,283.7,9.7
208.7,443.9,24.4,-24.1,235.2,-48.5
181.7,405.3,-27,-38.6,223.6,-11.6
161,369.7,-20.7,-35.6,208.7,-14.9
157.5,336.4,-3.5,-33.3,178.9,-29.8
151.9,343.1,-5.6,6.7,191.2,12.3
206.1,355.9,54.2,12.8,149.8,-41.4
215.8,374.7,9.7,18.8,158.9,9.1
201.5,393.8,-14.3,19.1,192.3,33.4
204.1,413.3,2.6,19.5,209.2,16.9
151.8,360.2,-52.3,-53.1,208.4,-0.8
105.8,343.8,-46,-16.4,238,29.6
116.8,343,11,-0.8,226.2,-11.8
166.3,332,49.5,-11,165.7,-60.5
211,339.6,44.7,7.6,128.6,-37.1
249.2,359.7,38.2,20.1,110.5,-18.1
255,371.9,5.8,12.2,116.9,6.4
172.9,333.5,-82.1,-38.4,160.6,43.7
222.1,331.9,49.2,-1.6,109.8,-50.8
281.2,349.3,59.1,17.4,68.1,-41.7
252.5,357.8,-28.7,8.5,105.3,37.2
260.6,332.3,8.1,-25.5,71.7,-33.6
284.1,331.8,23.5,-0.5,47.7,-24
269.1,342.5,-15,10.7,73.4,25.7
255.1,370,-14,27.5,114.9,41.5
247.4,360.5,-7.7,-9.5,113.1,-1.8
210.6,351.8,-36.8,-8.7,141.2,28.1
154,330,-56.6,-21.8,176,34.8
89,275.4,-65,-54.6,186.4,10.4
55.2,245.4,-33.8,-30,190.2,3.8
53.1,234.6,-2.1,-10.8,181.5,-8.7
93.1,255.9,40,21.3,162.8,-18.7
170.7,278.1,77.6,22.2,107.4,-55.4
228.8,309.6,58.1,31.5,80.8,-26.6
297.4,337.5,68.6,27.9,40.1,-40.7
493.5,396.3,196.1,58.8,-97.2,-137.3
706.9,505.1,213.4,108.8,-201.8,-104.6
824.9,546,118,40.9,-278.9,-77.1
897.3,619.1,72.4,73.1,-278.2,0.7
918,680.8,20.7,61.7,-237.2,41
926.2,686.6,8.2,5.8,-239.6,-2.4
839.9,704.6,-86.3,18,-135.3,104.3
847.9,710.8,8,6.2,-137.1,-1.8
817.6,712.5,-30.3,1.7,-105.1,32
747.9,679.9,-69.7,-32.6,-68,37.1
715,662.5,-32.9,-17.4,-52.5,15.5
790.6,680.4,75.6,17.9,-110.2,-57.7
853.3,728.3,62.7,47.9,-125,-14.8
710.1,706.9,-143.2,-21.4,-3.2,121.8
623.3,668.6,-86.8,-38.3,45.3,48.5
546.8,630.4,-76.5,-38.2,83.6,38.3
509.6,575.4,-37.2,-55,65.8,-17.8
475.8,553.1,-33.8,-22.3,77.3,11.5
448,530.3,-27.8,-22.8,82.3,5
572.3,541.5,124.3,11.2,-30.8,-113.1
642.6,545.9,70.3,4.4,-96.7,-65.9
700.6,632.8,58,86.9,-67.8,28.9
814.8,668.8,114.2,36,-146,-78.2
930.4,758.5,115.6,89.7,-171.9,-25.9
991.2,815.7,60.8,57.2,-175.5,-3.6
1036.1,859.7,44.9,44,-176.4,-0.9
1163.9,949.4,127.8,89.7,-214.5,-38.1
1376.6,1068.7,212.7,119.3,-307.9,-93.4
1474.8,1150.9,98.2,82.2,-323.9,-16
1499.8,1188.1,25,37.2,-311.7,12.2
1501.5,1212.7,1.7,24.6,-288.8,22.9
1442.3,1197,-59.2,-15.7,-245.3,43.5
1380.3,1198.5,-62,1.5,-181.8,63.5
1313.1,1208.9,-67.2,10.4,-104.2,77.6
1307.9,1215.1,-5.2,6.2,-92.8,11.4
1330.9,1225.9,23,10.8,-105,-12.2
1323,1260.6,-7.9,34.7,-62.4,42.6
1326,1266.7,3,6.1,-59.3,3.1
1320.4,1277,-5.6,10.3,-43.4,15.9
1354.3,1257.8,33.9,-19.2,-96.5,-53.1
1368.3,1214.7,14,-43.1,-153.6,-57.1
1389.5,1207,21.2,-7.7,-182.5,-28.9
1425.9,1275.4,36.4,68.4,-150.5,32
1362.4,1228.4,-63.5,-47,-134,16.5
1276.5,1210.4,-85.9,-18,-66.1,67.9
1117.1,1224.9,-159.4,14.5,107.8,173.9
962.6,1124.4,-154.5,-100.5,161.8,54
855,1077.8,-107.6,-46.6,222.8,61
730.5,1033.6,-124.5,-44.2,303.1,80.3
661,932.2,-69.5,-101.4,271.2,-31.9
500.2,861,-160.8,-71.2,360.8,89.6
458.4,791,-41.8,-70,332.6,-28.2
598.1,782,139.7,-9,183.9,-148.7
639.3,763.5,41.2,-18.5,124.2,-59.7
865.5,789,226.2,25.5,-76.5,-200.7
935.6,798.8,70.1,9.8,-136.8,-60.3
840.5,764.3,-95.1,-34.5,-76.2,60.6
643.3,730.7,-197.2,-33.6,87.4,163.6
449.6,681.6,-193.7,-49.1,232,144.6
449,657.9,-0.6,-23.7,208.9,-23.1
337.3,604.3,-111.7,-53.6,267,58.1
416.9,625.5,79.6,21.2,208.6,-58.4
473.7,591.3,56.8,-34.2,117.6,-91
570,628.5,96.3,37.2,58.5,-59.1
689.9,620.5,119.9,-8,-69.4,-127.9
696.6,615,6.7,-5.5,-81.6,-12.2
608.3,633.5,-88.3,18.5,25.2,106.8
452.5,551.9,-155.8,-81.6,99.4,74.2
503.8,561.5,51.3,9.6,57.7,-41.7
574.9,590.2,71.1,28.7,15.3,-42.4
694.2,657.5,119.3,67.3,-36.7,-52
813,728.5,118.8,71,-84.5,-47.8
850.7,755.4,37.7,26.9,-95.3,-10.8
1002.8,830.8,152.1,75.4,-172,-76.7
1268.5,930.2,265.7,99.4,-338.3,-166.3
1396.2,1010.1,127.7,79.9,-386.1,-47.8
1517.8,1098.6,121.6,88.5,-419.2,-33.1
1377.1,1105.8,-140.7,7.2,-271.3,147.9
1380.9,1120.2,3.8,14.4,-260.7,10.6
1465.1,1150.3,84.2,30.1,-314.8,-54.1
1401.1,1143.6,-64,-6.7,-257.5,57.3
1443.3,1146,42.2,2.4,-297.3,-39.8
1325.3,1107.8,-118,-38.2,-217.5,79.8
1102.5,1092.2,-222.8,-15.6,-10.3,207.2
1079,1098.6,-23.5,6.4,19.6,29.9
1078.3,1084.4,-0.7,-14.2,6.1,-13.5
1060.4,1060.3,-17.9,-24.1,-0.1,-6.2
1142.3,1071.3,81.9,11,-71,-70.9
1030.8,1027.9,-111.5,-43.4,-2.9,68.1
877.5,959,-153.3,-68.9,81.5,84.4
671.2,877.2,-206.3,-81.8,206,124.5
780.2,852.3,109,-24.9,72.1,-133.9
1073,935,292.8,82.7,-138,-210.1
1246.4,1052.4,173.4,117.4,-194,-56
1201.9,1080.5,-44.5,28.1,-121.4,72.6
1052.4,1070.7,-149.5,-9.8,18.3,139.7
807.1,981.2,-245.3,-89.5,174.1,155.8
709.5,943.1,-97.6,-38.1,233.6,59.5
553.2,877.2,-156.3,-65.9,324,90.4
441.4,791,-111.8,-86.2,349.6,25.6
551.3,780.3,109.9,-10.7,229,-120.6
521,732.5,-30.3,-47.8,211.5,-17.5
622,747.6,101,15.1,125.6,-85.9
564.9,695.5,-57.1,-52.1,130.6,5
686.9,682.5,122,-13,-4.4,-135
680,650,-6.9,-32.5,-30,-25.6
835.8,697,155.8,47,-138.8,-108.8
1105.3,805.1,269.5,108.1,-300.2,-161.4
1165.2,926.9,59.9,121.8,-238.3,61.9
1145.2,957.6,-20,30.7,-187.6,50.7
1049.3,967.2,-95.9,9.6,-82.1,105.5
1002,960.8,-47.3,-6.4,-41.2,40.9
1013,960.3,11,-0.5,-52.7,-11.5
956,947.3,-57,-13,-8.7,44
863.3,887.4,-92.7,-59.9,24.1,32.8
638.5,778.4,-224.8,-109,139.9,115.8
431.4,734,-207.1,-44.4,302.6,162.7
408.3,676.3,-23.1,-57.7,268,-34.6
453.3,672.8,45,-3.5,219.5,-48.5
395.4,602.8,-57.9,-70,207.4,-12.1
432.6,606.7,37.2,3.9,174.1,-33.3
316,540,-116.6,-66.7,224,49.9
286.7,493,-29.3,-47,206.3,-17.7
417.9,525,131.2,32,107.1,-99.2
427.6,538.7,9.7,13.7,111.1,4
407.9,529.7,-19.7,-9,121.8,10.7
477.2,531.4,69.3,1.7,54.2,-67.6
473.4,518.3,-3.8,-13.1,44.9,-9.3
484.2,518.6,10.8,0.3,34.4,-10.5
508.6,510.5,24.4,-8.1,1.9,-32.5
377.8,482.9,-130.8,-27.6,105.1,103.2
516.7,527.3,138.9,44.4,10.6,-94.5
498.2,524.9,-18.5,-2.4,26.7,16.1
536.1,547.4,37.9,22.5,11.3,-15.4
575.8,582.1,39.7,34.7,6.3,-5
664.7,649,88.9,66.9,-15.7,-22
